key,moment,start,end,picture,slogan,web
banner-01,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-02,2001/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-03,2001/06/24 01:00,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-04,2022/07/29 23:59,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-05,2022/07/29 23:58,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-06,2012/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-07,2020/06/24 00:00,2022/07/29 23:59,2022/08/29 23:59,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-08,2020/06/24 00:00,2022/07/29 23:58,2022/08/29 23:59,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-09,2020/06/24 00:00,2020/07/30 00:00,2020/09/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-10,2020/06/24 00:00,2020/07/30 00:01,2020/09/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-11,2020/06/24 00:00,2030/07/30 00:00,2030/09/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkSinGracia.com
banner-12,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://linkSuperlargoSinsentido_conCosas_deporMEdio.com,¡No podrás elegir solo una!,https://linkAleatorio.com
banner-13,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://かわいい犬.com,¡No podrás elegir solo una!,https://linkAleatorio.com
banner-14,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://c.com,¡No podrás elegir solo una!,https://linkAleatorio.com
banner-15,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¡No podrás elegir solo una! A no ser que tenga los 75 caracteres necesarios,https://linkAleatorio.com
banner-16,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¡No podrás elegir solo una! A no ser que tenga los 75 caracteres pedidosss,https://linkAleatorio.com
banner-17,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿,https://linkAleatorio.com
banner-18,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,¿?,https://linkAleatorio.com
banner-19,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,メントスにノーと言える人はいないでしょうか？,https://linkAleatorio.com
banner-20,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://linkAleatorio.com
banner-21,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://https://linkAleatorioSinsentido_conCosas_deporMEdio.com
banner-22,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://面白くないリンク.com
banner-23,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://imgur.com/a/cKfuGpE.png,¡No podrás elegir solo una!,https://l.com
banner-24,2000/01/01 00:00,2022/06/30 00:00,2022/08/01 00:00,https://i.imgur.com/8YcXhS0.png,Texto de prueba,https://www.worldwildlife.org
banner-25,2000/01/01 00:01,2022/06/30 00:00,2022/08/01 00:00,https://i.imgur.com/MtBRoNP.png,Texto de prueba,https://www.doctorswithoutborders.org
banner-26,2020/07/30 00:00,2022/06/30 00:00,2022/08/01 00:00,https://i.imgur.com/NGLSjk6.png,Texto de prueba,https://www.change.org/
banner-28,2010/01/01 00:00,2022/01/01 00:00,2022/11/30 00:00,https://imgur.com/a/8ZxausI.png,Texto de prueba,https://www.who.int/es
