key,key:story,key:work
made-of-01,user-story-01,project-01
made-of-02,user-story-02,project-02
made-of-03,user-story-03,project-03
made-of-04,user-story-04,project-04
made-of-05,user-story-05,project-05
made-of-06,user-story-06,project-06
made-of-07,user-story-07,project-07
made-of-08,user-story-08,project-08
made-of-09,user-story-09,project-09
made-of-10,user-story-10,project-10
made-of-11,user-story-11,project-11
made-of-12,user-story-12,project-12
made-of-13,user-story-13,project-13
made-of-14,user-story-14,project-14
made-of-15,user-story-15,project-15
made-of-16,user-story-16,project-16
made-of-17,user-story-17,project-17
made-of-18,user-story-18,project-18
made-of-19,user-story-19,project-19
made-of-20,user-story-20,project-20
