key,code,creation-moment,details,difficulty-level,update-moment,optional-link,estimated-total-time,draft-mode,key:project,key:developer
training-module-01,JAV-111,2020/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-02,JAV-112,2000/01/01 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-03,JAV-113,2000/01/01 00:01,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-04,JAV-114,2022/07/30 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-05,JAV-115,2022/07/29 23:59,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-06,JAV-116,2020/02/29 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-07,JAV-117,2000/12/31 23:59,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-08,JAV-118,2001/01/01 00:00,Introducción a Java Programming,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-09,JAV-119,2020/07/30 00:00,I,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-10,JAV-120,2020/07/30 00:00,In,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-11,JAV-121,2020/07/30 00:00,Introducción a Java Programmingggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-12,JAV-122,2020/07/30 00:00,Introducción a Java Programminggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
training-module-13,JAV-123,2020/07/30 00:00,مقدمة عن برمجة جافا,BASIC,2020/08/05 12:00,https://java.com,120,false,project-25,developer-01
